"UF";"Municipio";"Codigo";"Ano";"Robson";"parto_induzido";"Nascidos"
"AC";"ACRELANDIA";120001;2010;2;1;2
"AC";"ACRELANDIA";120001;2010;2;2;1
"AC";"ACRELANDIA";120001;2010;4;1;4
"AC";"ACRELANDIA";120001;2011;2;1;3
"AC";"ACRELANDIA";120001;2011;2;2;1
"AC";"ACRELANDIA";120001;2011;4;1;2
"AC";"ACRELANDIA";120001;2012;2;1;4
"AC";"ACRELANDIA";120001;2012;4;1;2
"AC";"ACRELANDIA";120001;2014;2;1;2
"AC";"ACRELANDIA";120001;2014;4;1;5
"AC";"ACRELANDIA";120001;2015;2;1;3
"AC";"ACRELANDIA";120001;2015;2;2;1
"AC";"ACRELANDIA";120001;2015;4;1;15
"AC";"ACRELANDIA";120001;2016;2;1;4
"AC";"ACRELANDIA";120001;2016;2;2;1
"AC";"ACRELANDIA";120001;2016;4;1;10
"AC";"ACRELANDIA";120001;2016;4;2;3
"AC";"ACRELANDIA";120001;2017;2;1;3
"AC";"ACRELANDIA";120001;2017;2;2;1
"AC";"ACRELANDIA";120001;2017;4;1;4
"AC";"ACRELANDIA";120001;2017;4;2;1
"AC";"ACRELANDIA";120001;2018;2;1;4
"AC";"ACRELANDIA";120001;2018;2;2;2
"AC";"ACRELANDIA";120001;2018;4;1;10
"AC";"ACRELANDIA";120001;2018;4;2;1
"AC";"ACRELANDIA";120001;2019;2;1;5
"AC";"ACRELANDIA";120001;2019;2;2;8
"AC";"ACRELANDIA";120001;2019;4;1;11
"AC";"ACRELANDIA";120001;2019;4;2;5
"AC";"ACRELANDIA";120001;2020;2;1;8
"AC";"ACRELANDIA";120001;2020;2;2;3
"AC";"ACRELANDIA";120001;2020;4;1;19
"AC";"ACRELANDIA";120001;2020;4;2;1
"AC";"ACRELANDIA";120001;2021;2;1;10
"AC";"ACRELANDIA";120001;2021;2;2;7
"AC";"ACRELANDIA";120001;2021;4;1;13
"AC";"ACRELANDIA";120001;2021;4;2;4
"AC";"ASSIS BRASIL";120005;2010;2;1;1
"AC";"ASSIS BRASIL";120005;2010;4;1;5
"AC";"ASSIS BRASIL";120005;2010;4;2;1
"AC";"ASSIS BRASIL";120005;2011;2;1;6
"AC";"ASSIS BRASIL";120005;2011;4;1;15
"AC";"ASSIS BRASIL";120005;2012;2;1;4
"AC";"ASSIS BRASIL";120005;2012;4;1;7
"AC";"ASSIS BRASIL";120005;2014;2;1;3
"AC";"ASSIS BRASIL";120005;2014;2;2;1
"AC";"ASSIS BRASIL";120005;2014;4;1;18
"AC";"ASSIS BRASIL";120005;2015;2;1;9
"AC";"ASSIS BRASIL";120005;2015;4;1;29
"AC";"ASSIS BRASIL";120005;2015;4;2;1
"AC";"ASSIS BRASIL";120005;2016;2;1;2
"AC";"ASSIS BRASIL";120005;2016;2;2;3
"AC";"ASSIS BRASIL";120005;2016;4;1;14
"AC";"ASSIS BRASIL";120005;2016;4;2;4
"AC";"ASSIS BRASIL";120005;2017;2;1;5
"AC";"ASSIS BRASIL";120005;2017;2;2;2
"AC";"ASSIS BRASIL";120005;2017;4;1;5
"AC";"ASSIS BRASIL";120005;2017;4;2;1
"AC";"ASSIS BRASIL";120005;2018;2;1;1
"AC";"ASSIS BRASIL";120005;2018;2;2;4
"AC";"ASSIS BRASIL";120005;2018;4;1;3
"AC";"ASSIS BRASIL";120005;2018;4;2;5
"AC";"ASSIS BRASIL";120005;2019;2;2;2
"AC";"ASSIS BRASIL";120005;2019;4;1;6
"AC";"ASSIS BRASIL";120005;2019;4;2;2
"AC";"ASSIS BRASIL";120005;2020;2;1;5
"AC";"ASSIS BRASIL";120005;2020;2;2;3
"AC";"ASSIS BRASIL";120005;2020;4;1;4
"AC";"ASSIS BRASIL";120005;2020;4;2;4
"AC";"ASSIS BRASIL";120005;2021;2;1;5
"AC";"ASSIS BRASIL";120005;2021;2;2;3
"AC";"ASSIS BRASIL";120005;2021;4;1;10
"AC";"ASSIS BRASIL";120005;2021;4;2;2
"AC";"BRASILEIA";120010;2010;2;1;7
"AC";"BRASILEIA";120010;2010;2;2;1
"AC";"BRASILEIA";120010;2010;4;1;2
"AC";"BRASILEIA";120010;2011;2;1;7
"AC";"BRASILEIA";120010;2011;4;1;7
"AC";"BRASILEIA";120010;2012;2;1;3
"AC";"BRASILEIA";120010;2012;2;2;1
"AC";"BRASILEIA";120010;2012;4;2;1
"AC";"BRASILEIA";120010;2014;2;1;7
"AC";"BRASILEIA";120010;2014;2;2;3
"AC";"BRASILEIA";120010;2014;4;1;7
"AC";"BRASILEIA";120010;2014;4;2;5
"AC";"BRASILEIA";120010;2015;2;1;2
"AC";"BRASILEIA";120010;2015;2;2;2
"AC";"BRASILEIA";120010;2015;4;1;8
"AC";"BRASILEIA";120010;2015;4;2;2
"AC";"BRASILEIA";120010;2016;2;1;8
"AC";"BRASILEIA";120010;2016;2;2;17
"AC";"BRASILEIA";120010;2016;4;1;6
"AC";"BRASILEIA";120010;2016;4;2;16
"AC";"BRASILEIA";120010;2016;4;9;1
"AC";"BRASILEIA";120010;2017;2;1;9
"AC";"BRASILEIA";120010;2017;2;2;27
"AC";"BRASILEIA";120010;2017;4;1;20
"AC";"BRASILEIA";120010;2017;4;2;13
"AC";"BRASILEIA";120010;2018;2;1;7
"AC";"BRASILEIA";120010;2018;2;2;19
"AC";"BRASILEIA";120010;2018;4;1;7
"AC";"BRASILEIA";120010;2018;4;2;14
"AC";"BRASILEIA";120010;2019;2;1;4
"AC";"BRASILEIA";120010;2019;2;2;14
"AC";"BRASILEIA";120010;2019;4;1;14
"AC";"BRASILEIA";120010;2019;4;2;16
"AC";"BRASILEIA";120010;2020;2;1;4
"AC";"BRASILEIA";120010;2020;2;2;10
"AC";"BRASILEIA";120010;2020;4;1;7
"AC";"BRASILEIA";120010;2020;4;2;10
"AC";"BRASILEIA";120010;2021;2;1;11
"AC";"BRASILEIA";120010;2021;2;2;19
"AC";"BRASILEIA";120010;2021;4;1;11
"AC";"BRASILEIA";120010;2021;4;2;6
