"UF";"Municipio";"Codigo";"Ano";"Robson";"cesarea_antes_do_parto";"Nascidos"
"AC";"ACRELANDIA";120001;2010;2;NA;1
"AC";"ACRELANDIA";120001;2010;2;1;2
"AC";"ACRELANDIA";120001;2010;4;NA;4
"AC";"ACRELANDIA";120001;2011;2;1;1
"AC";"ACRELANDIA";120001;2011;2;3;3
"AC";"ACRELANDIA";120001;2011;4;3;2
"AC";"ACRELANDIA";120001;2012;2;3;4
"AC";"ACRELANDIA";120001;2012;4;3;2
"AC";"ACRELANDIA";120001;2014;2;NA;2
"AC";"ACRELANDIA";120001;2014;4;NA;5
"AC";"ACRELANDIA";120001;2015;2;NA;3
"AC";"ACRELANDIA";120001;2015;2;1;1
"AC";"ACRELANDIA";120001;2015;4;NA;14
"AC";"ACRELANDIA";120001;2015;4;2;1
"AC";"ACRELANDIA";120001;2016;2;1;1
"AC";"ACRELANDIA";120001;2016;2;3;4
"AC";"ACRELANDIA";120001;2016;4;1;3
"AC";"ACRELANDIA";120001;2016;4;3;10
"AC";"ACRELANDIA";120001;2017;2;1;1
"AC";"ACRELANDIA";120001;2017;2;2;2
"AC";"ACRELANDIA";120001;2017;2;3;1
"AC";"ACRELANDIA";120001;2017;4;1;1
"AC";"ACRELANDIA";120001;2017;4;3;4
"AC";"ACRELANDIA";120001;2018;2;1;2
"AC";"ACRELANDIA";120001;2018;2;3;4
"AC";"ACRELANDIA";120001;2018;4;1;1
"AC";"ACRELANDIA";120001;2018;4;2;2
"AC";"ACRELANDIA";120001;2018;4;3;8
"AC";"ACRELANDIA";120001;2019;2;1;8
"AC";"ACRELANDIA";120001;2019;2;2;1
"AC";"ACRELANDIA";120001;2019;2;3;4
"AC";"ACRELANDIA";120001;2019;4;1;5
"AC";"ACRELANDIA";120001;2019;4;2;1
"AC";"ACRELANDIA";120001;2019;4;3;10
"AC";"ACRELANDIA";120001;2020;2;1;3
"AC";"ACRELANDIA";120001;2020;2;2;2
"AC";"ACRELANDIA";120001;2020;2;3;6
"AC";"ACRELANDIA";120001;2020;4;1;2
"AC";"ACRELANDIA";120001;2020;4;3;18
"AC";"ACRELANDIA";120001;2021;2;1;7
"AC";"ACRELANDIA";120001;2021;2;3;7
"AC";"ACRELANDIA";120001;2021;2;9;3
"AC";"ACRELANDIA";120001;2021;4;1;5
"AC";"ACRELANDIA";120001;2021;4;2;2
"AC";"ACRELANDIA";120001;2021;4;3;10
"AC";"ASSIS BRASIL";120005;2010;2;NA;1
"AC";"ASSIS BRASIL";120005;2010;4;NA;5
"AC";"ASSIS BRASIL";120005;2010;4;1;1
"AC";"ASSIS BRASIL";120005;2011;2;3;6
"AC";"ASSIS BRASIL";120005;2011;4;1;2
"AC";"ASSIS BRASIL";120005;2011;4;3;13
"AC";"ASSIS BRASIL";120005;2012;2;3;4
"AC";"ASSIS BRASIL";120005;2012;4;3;7
"AC";"ASSIS BRASIL";120005;2014;2;NA;3
"AC";"ASSIS BRASIL";120005;2014;2;1;1
"AC";"ASSIS BRASIL";120005;2014;4;NA;18
"AC";"ASSIS BRASIL";120005;2015;2;NA;8
"AC";"ASSIS BRASIL";120005;2015;2;2;1
"AC";"ASSIS BRASIL";120005;2015;4;NA;29
"AC";"ASSIS BRASIL";120005;2015;4;1;1
"AC";"ASSIS BRASIL";120005;2016;2;1;3
"AC";"ASSIS BRASIL";120005;2016;2;3;2
"AC";"ASSIS BRASIL";120005;2016;4;1;4
"AC";"ASSIS BRASIL";120005;2016;4;2;1
"AC";"ASSIS BRASIL";120005;2016;4;3;13
"AC";"ASSIS BRASIL";120005;2017;2;1;2
"AC";"ASSIS BRASIL";120005;2017;2;3;5
"AC";"ASSIS BRASIL";120005;2017;4;1;1
"AC";"ASSIS BRASIL";120005;2017;4;2;1
"AC";"ASSIS BRASIL";120005;2017;4;3;4
"AC";"ASSIS BRASIL";120005;2018;2;1;4
"AC";"ASSIS BRASIL";120005;2018;2;2;1
"AC";"ASSIS BRASIL";120005;2018;4;1;5
"AC";"ASSIS BRASIL";120005;2018;4;2;1
"AC";"ASSIS BRASIL";120005;2018;4;3;2
"AC";"ASSIS BRASIL";120005;2019;2;1;2
"AC";"ASSIS BRASIL";120005;2019;4;1;2
"AC";"ASSIS BRASIL";120005;2019;4;3;6
"AC";"ASSIS BRASIL";120005;2020;2;1;3
"AC";"ASSIS BRASIL";120005;2020;2;2;2
"AC";"ASSIS BRASIL";120005;2020;2;3;3
"AC";"ASSIS BRASIL";120005;2020;4;1;4
"AC";"ASSIS BRASIL";120005;2020;4;3;4
"AC";"ASSIS BRASIL";120005;2021;2;1;3
"AC";"ASSIS BRASIL";120005;2021;2;3;4
"AC";"ASSIS BRASIL";120005;2021;2;9;1
"AC";"ASSIS BRASIL";120005;2021;4;1;2
"AC";"ASSIS BRASIL";120005;2021;4;2;2
"AC";"ASSIS BRASIL";120005;2021;4;3;8
"AC";"BRASILEIA";120010;2010;2;NA;4
"AC";"BRASILEIA";120010;2010;2;1;1
"AC";"BRASILEIA";120010;2010;2;2;3
"AC";"BRASILEIA";120010;2010;4;NA;2
"AC";"BRASILEIA";120010;2011;2;1;6
"AC";"BRASILEIA";120010;2011;2;3;1
"AC";"BRASILEIA";120010;2011;4;1;5
"AC";"BRASILEIA";120010;2011;4;3;2
"AC";"BRASILEIA";120010;2012;2;1;1
"AC";"BRASILEIA";120010;2012;2;2;3
"AC";"BRASILEIA";120010;2012;4;1;1
"AC";"BRASILEIA";120010;2014;2;NA;6
"AC";"BRASILEIA";120010;2014;2;1;3
"AC";"BRASILEIA";120010;2014;2;2;1
"AC";"BRASILEIA";120010;2014;4;NA;6
"AC";"BRASILEIA";120010;2014;4;1;6
"AC";"BRASILEIA";120010;2015;2;NA;2
"AC";"BRASILEIA";120010;2015;2;1;2
"AC";"BRASILEIA";120010;2015;4;NA;7
"AC";"BRASILEIA";120010;2015;4;1;2
"AC";"BRASILEIA";120010;2015;4;2;1
"AC";"BRASILEIA";120010;2016;2;1;17
"AC";"BRASILEIA";120010;2016;2;2;2
"AC";"BRASILEIA";120010;2016;2;3;6
"AC";"BRASILEIA";120010;2016;4;1;17
"AC";"BRASILEIA";120010;2016;4;2;3
"AC";"BRASILEIA";120010;2016;4;3;3
"AC";"BRASILEIA";120010;2017;2;1;27
"AC";"BRASILEIA";120010;2017;2;2;3
"AC";"BRASILEIA";120010;2017;2;3;6
"AC";"BRASILEIA";120010;2017;4;1;15
"AC";"BRASILEIA";120010;2017;4;2;3
"AC";"BRASILEIA";120010;2017;4;3;15
"AC";"BRASILEIA";120010;2018;2;1;19
"AC";"BRASILEIA";120010;2018;2;2;4
"AC";"BRASILEIA";120010;2018;2;3;1
"AC";"BRASILEIA";120010;2018;2;9;2
"AC";"BRASILEIA";120010;2018;4;1;14
"AC";"BRASILEIA";120010;2018;4;2;2
"AC";"BRASILEIA";120010;2018;4;3;5
"AC";"BRASILEIA";120010;2019;2;1;14
"AC";"BRASILEIA";120010;2019;2;2;1
"AC";"BRASILEIA";120010;2019;2;3;3
"AC";"BRASILEIA";120010;2019;4;1;16
"AC";"BRASILEIA";120010;2019;4;2;1
"AC";"BRASILEIA";120010;2019;4;3;13
"AC";"BRASILEIA";120010;2020;2;1;10
"AC";"BRASILEIA";120010;2020;2;2;1
"AC";"BRASILEIA";120010;2020;2;3;3
"AC";"BRASILEIA";120010;2020;4;1;10
"AC";"BRASILEIA";120010;2020;4;2;3
"AC";"BRASILEIA";120010;2020;4;3;4
"AC";"BRASILEIA";120010;2021;2;1;19
"AC";"BRASILEIA";120010;2021;2;2;4
"AC";"BRASILEIA";120010;2021;2;3;6
"AC";"BRASILEIA";120010;2021;2;9;1
"AC";"BRASILEIA";120010;2021;4;1;6
"AC";"BRASILEIA";120010;2021;4;2;3
"AC";"BRASILEIA";120010;2021;4;3;8
"AC";"BUJARI";120013;2010;2;NA;1
"AC";"BUJARI";120013;2010;4;NA;6
"AC";"BUJARI";120013;2010;4;1;2
"AC";"BUJARI";120013;2011;2;1;1
"AC";"BUJARI";120013;2011;2;3;2
"AC";"BUJARI";120013;2011;4;3;3
"AC";"BUJARI";120013;2012;2;3;2
